user,text,place,created_at
Jessica Velasco????,"#Openwave is ready to Create Complex, Innovative, Creative #Applications with Unlimited Functionality ?? https://t.co/2IMB2CMG1J","New York, USA",Wed Mar 27 11:23:59 +0000 2019
.,@shazcutest ????????,"New York, USA",Wed Mar 27 11:24:06 +0000 2019
Ty ML Albee,"Hold 'em tight
You won't have any #WednesdayWisdom https://t.co/OqDvHgnhNu","New York, USA",Wed Mar 27 11:24:12 +0000 2019
"Town of Lewiston, NY","And where was Cruz's apology when Obama was President...
https://t.co/M3MFUmg8V9","New York, USA",Wed Mar 27 11:24:14 +0000 2019
????? ???????????,No problem @ New York https://t.co/gHDOl7EODE,"New York, USA",Wed Mar 27 11:24:19 +0000 2019
Brian Donegan,@Mell1960 It?s 15 here as well. Spring will show up one day...,"New York, USA",Wed Mar 27 11:24:27 +0000 2019
Chad Orzel,"Anyway, the point is, showing up in my office with balloons would've been an AMAZING improvement in the process. (7/7)","New York, USA",Wed Mar 27 11:24:31 +0000 2019
Acidic Swamp Ooze,"@Roidsgg Wait, it taste something else than the tin can?","Ottawa, Ontario",Wed Mar 27 11:24:57 +0000 2019
Hobbyistgirl crashing Adepticon,"@LuckySixes Phew, thank the stars! Would have missed it, I?m sure!","New York, USA",Wed Mar 27 11:25:02 +0000 2019
Paula Cummings,Listening to @thedemos - so stoked for their hometown show this weekend!!! https://t.co/sPADuydypg https://t.co/CsQOiPwm2p,"New York, USA",Wed Mar 27 11:25:14 +0000 2019
Brenda Lee,@DonaldJTrumpJr When is Daddy going to explain to our military families that they have to continue to live in house? https://t.co/awK5hqF2by,"New York, USA",Wed Mar 27 11:25:18 +0000 2019
Brian Donegan,"April is 5 days away, but you?d never know it. #NYwx https://t.co/mwVsWz32j8","New York, USA",Wed Mar 27 11:25:18 +0000 2019
Ottawa Rockstar/Pornstar,Oh my her pussy was tight https://t.co/r1z0jJqg8I,"Ottawa, Ontario",Wed Mar 27 11:25:27 +0000 2019
.,uk what im glad im not the only one who feels how they feel abot seafood,"New York, USA",Wed Mar 27 11:25:46 +0000 2019
Apss wif za kudi????,Example zone,"Ottawa, Ontario",Wed Mar 27 11:26:04 +0000 2019
Shawna Keast ?,@StuntmanStu @MAJIC100Ottawa @AngiePoirier @janelsteeper A,"Ottawa, Ontario",Wed Mar 27 11:26:18 +0000 2019
Tommy Sewall,"This one is easier to tweet than to really live out in my life, but it?s a good reminder for me today- ?I am comfor? https://t.co/4ML08bNzVh","New York, USA",Wed Mar 27 11:26:18 +0000 2019
Bob LeDrew,At least ?federal? Ottawa. There are lots of us just getting on with our lives and looking aghast at the goings on? https://t.co/NL2NyBVcEZ,"Ottawa, Ontario",Wed Mar 27 11:26:41 +0000 2019
Roseyrose ??,Everytime i work this early i think about how much i wanna quit,"New York, USA",Wed Mar 27 11:27:07 +0000 2019
Category 3 LLC,Usually when I get a #call for an attic #cleaning estimate it?s for #mold but at this #suffolkcounty home they had? https://t.co/Zsu12yYiZu,"New York, USA",Wed Mar 27 11:27:12 +0000 2019
Ashley Jameson,@kwilli1046 https://t.co/i0hHeJhIrM,"Ottawa, Ontario",Wed Mar 27 11:27:12 +0000 2019
David McGuffin,"""When you arise in the morning, think of what a precious privilege it is to be alive - to breathe, to think, to enj? https://t.co/auMXjqJfCw","Chelsea, Qu?bec",Wed Mar 27 11:27:19 +0000 2019
Walter Prager,"Dental hygienist: How often do you floss?
Me: How often do I come here?","Ottawa, Ontario",Wed Mar 27 11:27:21 +0000 2019
SA Morris,@angiecthomas https://t.co/jzNOTKSVh2,"Ottawa, Ontario",Wed Mar 27 11:27:34 +0000 2019
511 NYC Area,Construction on #CrossBayBridge SB at Rockaway Bound https://t.co/gDROAuLXXQ,"New York, USA",Wed Mar 27 11:27:34 +0000 2019
511 New York,Construction on #CrossBayBridge SB at Rockaway Bound https://t.co/ALNWFV0ywC,"New York, USA",Wed Mar 27 11:27:40 +0000 2019
?????,@K7Akito ??????,"Ottawa, Ontario",Wed Mar 27 11:27:51 +0000 2019
CGI Nerd,"@robertoblake I totally believe it. Personally, I am about 50/50. My Audience, on the other hand, is flipped. Altho? https://t.co/d1ClXSTVzm","New York, USA",Wed Mar 27 11:27:57 +0000 2019
Acidic Swamp Ooze,@Liquid_hsdog @Savjz @LiquidSjow Why so savjz,"Ottawa, Ontario",Wed Mar 27 11:28:32 +0000 2019
Ryan Forsyth,When you check Instagram stories in the morning and see someone or a brand with ?dots? https://t.co/2wl3iU8rij,"Ottawa, Ontario",Wed Mar 27 11:28:43 +0000 2019
